title,registration_year,registration_date,current_status,objective,commission_answer,initiative_url,signatures_collected_by_country,signatures_countries_threshold_met_count,signatures_collected,funding_total,timeline_collection_closed,timeline_collection_start,legislation
European Accessible Cities,2026,01/01/2026,Collection Ongoing,Ensure barrier-free access in public spaces and transport by setting EU accessibility benchmarks for cities and funding upgrades.,,https://citizens-initiative.europa.eu/initiatives/european-accessible-cities_en,"{""France"": {""statements_of_support"": ""13,256"", ""threshold"": ""55,500"", ""percentage"": ""23.88%""}, ""Germany"": {""statements_of_support"": ""27,338"", ""threshold"": ""74,250"", ""percentage"": ""36.82%""}, ""Netherlands"": {""statements_of_support"": ""11,153"", ""threshold"": ""19,500"", ""percentage"": ""57.19%""}, ""Portugal"": {""statements_of_support"": ""5,646"", ""threshold"": ""16,500"", ""percentage"": ""34.22%""}, ""Spain"": {""statements_of_support"": ""10,927"", ""threshold"": ""40,500"", ""percentage"": ""26.98%""}}",1.0,68320.0,"126,853.23",,15/02/2026,
Ban PFAS Forever Chemicals,2026,01/01/2026,Collection Ongoing,"Phase out PFAS in consumer products and industrial uses where safer alternatives exist, with strict derogations and full transparency.",,https://citizens-initiative.europa.eu/initiatives/ban-pfas-forever-chemicals_en,"{""France"": {""statements_of_support"": ""60,811"", ""threshold"": ""55,500"", ""percentage"": ""109.57%""}, ""Germany"": {""statements_of_support"": ""45,342"", ""threshold"": ""74,250"", ""percentage"": ""61.07%""}, ""Italy"": {""statements_of_support"": ""36,675"", ""threshold"": ""54,750"", ""percentage"": ""66.99%""}, ""Netherlands"": {""statements_of_support"": ""33,601"", ""threshold"": ""19,500"", ""percentage"": ""172.31%""}, ""Poland"": {""statements_of_support"": ""12,021"", ""threshold"": ""38,250"", ""percentage"": ""31.43%""}}",3.0,188450.0,"431,057.16",,01/02/2026,
EU Right to Repair Plus,2026,01/01/2026,Collection Ongoing,"Strengthen the right to repair by extending spare-parts availability, mandating repairability scores, and limiting software locks that hinder repair.",,https://citizens-initiative.europa.eu/initiatives/eu-right-to-repair-plus_en,"{""Austria"": {""statements_of_support"": ""6,038"", ""threshold"": ""14,250"", ""percentage"": ""42.37%""}, ""Belgium"": {""statements_of_support"": ""13,886"", ""threshold"": ""16,500"", ""percentage"": ""84.16%""}, ""Bulgaria"": {""statements_of_support"": ""1"", ""threshold"": ""13,500"", ""percentage"": ""0.01%""}, ""Cyprus"": {""statements_of_support"": ""3*"", ""threshold"": ""4,500"", ""percentage"": ""0.07%""}, ""Czechia"": {""statements_of_support"": ""11,841"", ""threshold"": ""16,500"", ""percentage"": ""71.76%""}, ""Denmark"": {""statements_of_support"": ""39"", ""threshold"": ""9,750"", ""percentage"": ""0.40%""}, ""Finland"": {""statements_of_support"": ""61"", ""threshold"": ""9,750"", ""percentage"": ""0.63%""}, ""France"": {""statements_of_support"": ""32,002"", ""threshold"": ""55,500"", ""percentage"": ""57.66%""}, ""Germany"": {""statements_of_support"": ""60,341"", ""threshold"": ""74,250"", ""percentage"": ""81.27%""}, ""Greece"": {""statements_of_support"": ""8,432*"", ""threshold"": ""16,500"", ""percentage"": ""51.10%""}, ""Hungary"": {""statements_of_support"": ""3,014"", ""threshold"": ""16,500"", ""percentage"": ""18.27%""}, ""Ireland"": {""statements_of_support"": ""1,830"", ""threshold"": ""9,000"", ""percentage"": ""20.33%""}, ""Italy"": {""statements_of_support"": ""29,089"", ""threshold"": ""54,750"", ""percentage"": ""53.13%""}, ""Latvia"": {""statements_of_support"": ""165"", ""threshold"": ""6,750"", ""percentage"": ""2.44%""}, ""Netherlands"": {""statements_of_support"": ""6,876"", ""threshold"": ""19,500"", ""percentage"": ""35.26%""}, ""Poland"": {""statements_of_support"": ""27,630"", ""threshold"": ""38,250"", ""percentage"": ""72.24%""}, ""Portugal"": {""statements_of_support"": ""3,288"", ""threshold"": ""16,500"", ""percentage"": ""19.93%""}, ""Romania"": {""statements_of_support"": ""10,768"", ""threshold"": ""24,750"", ""percentage"": ""43.51%""}, ""Slovakia"": {""statements_of_support"": ""286"", ""threshold"": ""9,750"", ""percentage"": ""2.93%""}, ""Slovenia"": {""statements_of_support"": ""32,358"", ""threshold"": ""6,000"", ""percentage"": ""539.30%""}, ""Spain"": {""statements_of_support"": ""59,011"", ""threshold"": ""40,500"", ""percentage"": ""145.71%""}, ""Sweden"": {""statements_of_support"": ""2,161"", ""threshold"": ""15,000"", ""percentage"": ""14.41%""}}",5.0,309120.0,"106,054.64",,10/01/2026,
Clean Air for Europe,2026,01/01/2026,Collection Ongoing,"Set binding EU-wide air quality targets aligned with WHO guidelines, strengthen enforcement, and expand monitoring in urban areas.",,https://citizens-initiative.europa.eu/initiatives/clean-air-for-europe_en,"{""France"": {""statements_of_support"": ""17,408"", ""threshold"": ""55,500"", ""percentage"": ""31.37%""}, ""Germany"": {""statements_of_support"": ""33,207"", ""threshold"": ""74,250"", ""percentage"": ""44.72%""}, ""Romania"": {""statements_of_support"": ""7,926"", ""threshold"": ""24,750"", ""percentage"": ""32.02%""}, ""Slovakia"": {""statements_of_support"": ""7,520"", ""threshold"": ""9,750"", ""percentage"": ""77.13%""}, ""Spain"": {""statements_of_support"": ""8,149"", ""threshold"": ""40,500"", ""percentage"": ""20.12%""}}",1.0,74210.0,"245,063.09",,20/03/2026,
Protect EU Borders,2026,01/01/2026,Collection Unsuccessful,Strengthen EU external border controls and establish a permanent EU border protection force with enhanced mandate to prevent illegal crossings and ensure the security of member states' territorial integrity.,,https://citizens-initiative.europa.eu/initiatives/protect-eu-borders_en,"{""France"": {""statements_of_support"": ""41,354"", ""threshold"": ""55,500"", ""percentage"": ""74.51%""}, ""Italy"": {""statements_of_support"": ""36,228"", ""threshold"": ""54,750"", ""percentage"": ""66.17%""}, ""Netherlands"": {""statements_of_support"": ""8,613"", ""threshold"": ""19,500"", ""percentage"": ""44.17%""}, ""Poland"": {""statements_of_support"": ""14,473"", ""threshold"": ""38,250"", ""percentage"": ""37.84%""}, ""Spain"": {""statements_of_support"": ""19,832"", ""threshold"": ""40,500"", ""percentage"": ""48.97%""}}",2.0,120500.0,"23,568.74",04/08/2027,04/08/2026,
AI Regulation for Workers,2026,01/01/2026,Collection Ongoing,"Ensure that AI systems used in employment contexts are subject to human oversight, algorithmic transparency, and workers' right to explanation for any automated decision affecting their employment conditions.",,https://citizens-initiative.europa.eu/initiatives/ai-regulation-workers_en,"{""Austria"": {""statements_of_support"": ""741"", ""threshold"": ""14,250"", ""percentage"": ""5.20%""}, ""Belgium"": {""statements_of_support"": ""6,497"", ""threshold"": ""16,500"", ""percentage"": ""39.38%""}, ""Bulgaria"": {""statements_of_support"": ""46,480"", ""threshold"": ""13,500"", ""percentage"": ""344.30%""}, ""Croatia"": {""statements_of_support"": ""5,725"", ""threshold"": ""8,250"", ""percentage"": ""69.39%""}, ""Cyprus"": {""statements_of_support"": ""8,689"", ""threshold"": ""4,500"", ""percentage"": ""193.09%""}, ""Czechia"": {""statements_of_support"": ""2,002"", ""threshold"": ""16,500"", ""percentage"": ""12.13%""}, ""Denmark"": {""statements_of_support"": ""6,513"", ""threshold"": ""9,750"", ""percentage"": ""66.80%""}, ""Estonia"": {""statements_of_support"": ""5,306"", ""threshold"": ""4,500"", ""percentage"": ""117.91%""}, ""Finland"": {""statements_of_support"": ""310"", ""threshold"": ""9,750"", ""percentage"": ""3.18%""}, ""France"": {""statements_of_support"": ""53,648"", ""threshold"": ""55,500"", ""percentage"": ""96.66%""}, ""Germany"": {""statements_of_support"": ""70,488"", ""threshold"": ""74,250"", ""percentage"": ""94.93%""}, ""Greece"": {""statements_of_support"": ""829"", ""threshold"": ""16,500"", ""percentage"": ""5.02%""}, ""Hungary"": {""statements_of_support"": ""4,145"", ""threshold"": ""16,500"", ""percentage"": ""25.12%""}, ""Ireland"": {""statements_of_support"": ""14"", ""threshold"": ""9,000"", ""percentage"": ""0.16%""}, ""Italy"": {""statements_of_support"": ""65,974"", ""threshold"": ""54,750"", ""percentage"": ""120.50%""}, ""Latvia"": {""statements_of_support"": ""7,470"", ""threshold"": ""6,750"", ""percentage"": ""110.67%""}, ""Lithuania"": {""statements_of_support"": ""17"", ""threshold"": ""9,000"", ""percentage"": ""0.19%""}, ""Netherlands"": {""statements_of_support"": ""15,715"", ""threshold"": ""19,500"", ""percentage"": ""80.59%""}, ""Poland"": {""statements_of_support"": ""31,731"", ""threshold"": ""38,250"", ""percentage"": ""82.96%""}, ""Portugal"": {""statements_of_support"": ""4,369"", ""threshold"": ""16,500"", ""percentage"": ""26.48%""}, ""Romania"": {""statements_of_support"": ""49,471"", ""threshold"": ""24,750"", ""percentage"": ""199.88%""}, ""Slovakia"": {""statements_of_support"": ""19,691"", ""threshold"": ""9,750"", ""percentage"": ""201.96%""}, ""Slovenia"": {""statements_of_support"": ""57"", ""threshold"": ""6,000"", ""percentage"": ""0.95%""}, ""Spain"": {""statements_of_support"": ""17,384"", ""threshold"": ""40,500"", ""percentage"": ""42.92%""}, ""Sweden"": {""statements_of_support"": ""26,734"", ""threshold"": ""15,000"", ""percentage"": ""178.23%""}}",5.0,450000.0,"301,546.65",,05/02/2026,
Tax the Rich,2026,01/01/2026,Collection Ongoing,"Introduce a progressive EU-wide net wealth tax on individuals holding assets above €1 million to fund the green transition, reduce inequality, and finance public services across member states.",,https://citizens-initiative.europa.eu/initiatives/tax-the-rich_en,"{""Austria"": {""statements_of_support"": ""32,279"", ""threshold"": ""14,250"", ""percentage"": ""226.52%""}, ""Belgium"": {""statements_of_support"": ""23,771"", ""threshold"": ""16,500"", ""percentage"": ""144.07%""}, ""Bulgaria"": {""statements_of_support"": ""15,289"", ""threshold"": ""13,500"", ""percentage"": ""113.25%""}, ""Croatia"": {""statements_of_support"": ""30,375"", ""threshold"": ""8,250"", ""percentage"": ""368.18%""}, ""Cyprus"": {""statements_of_support"": ""42,134"", ""threshold"": ""4,500"", ""percentage"": ""936.31%""}, ""Czechia"": {""statements_of_support"": ""23,469"", ""threshold"": ""16,500"", ""percentage"": ""142.24%""}, ""Denmark"": {""statements_of_support"": ""26,147"", ""threshold"": ""9,750"", ""percentage"": ""268.17%""}, ""Finland"": {""statements_of_support"": ""263"", ""threshold"": ""9,750"", ""percentage"": ""2.70%""}, ""France"": {""statements_of_support"": ""95,622"", ""threshold"": ""55,500"", ""percentage"": ""172.29%""}, ""Germany"": {""statements_of_support"": ""256,052"", ""threshold"": ""74,250"", ""percentage"": ""344.85%""}, ""Greece"": {""statements_of_support"": ""7,918"", ""threshold"": ""16,500"", ""percentage"": ""47.99%""}, ""Hungary"": {""statements_of_support"": ""4,315*"", ""threshold"": ""16,500"", ""percentage"": ""26.15%""}, ""Ireland"": {""statements_of_support"": ""9"", ""threshold"": ""9,000"", ""percentage"": ""0.10%""}, ""Italy"": {""statements_of_support"": ""103,904"", ""threshold"": ""54,750"", ""percentage"": ""189.78%""}, ""Luxembourg"": {""statements_of_support"": ""15"", ""threshold"": ""4,500"", ""percentage"": ""0.33%""}, ""Netherlands"": {""statements_of_support"": ""7,155"", ""threshold"": ""19,500"", ""percentage"": ""36.69%""}, ""Poland"": {""statements_of_support"": ""98,287"", ""threshold"": ""38,250"", ""percentage"": ""256.96%""}, ""Portugal"": {""statements_of_support"": ""38,794"", ""threshold"": ""16,500"", ""percentage"": ""235.12%""}, ""Romania"": {""statements_of_support"": ""60,231"", ""threshold"": ""24,750"", ""percentage"": ""243.36%""}, ""Slovenia"": {""statements_of_support"": ""915"", ""threshold"": ""6,000"", ""percentage"": ""15.25%""}, ""Spain"": {""statements_of_support"": ""104,019"", ""threshold"": ""40,500"", ""percentage"": ""256.84%""}, ""Sweden"": {""statements_of_support"": ""29,137"", ""threshold"": ""15,000"", ""percentage"": ""194.25%""}}",8.0,1000100.0,"203,214.62",,12/01/2026,
Europe for Mental Health,2026,01/01/2026,Collection Ongoing,"Adopt an EU mental health action plan with minimum service standards, prevention measures, and dedicated funding for youth support.",,https://citizens-initiative.europa.eu/initiatives/europe-for-mental-health_en,"{""France"": {""statements_of_support"": ""31,280"", ""threshold"": ""55,500"", ""percentage"": ""56.36%""}, ""Germany"": {""statements_of_support"": ""14,009"", ""threshold"": ""74,250"", ""percentage"": ""18.87%""}, ""Greece"": {""statements_of_support"": ""10,450"", ""threshold"": ""16,500"", ""percentage"": ""63.33%""}, ""Italy"": {""statements_of_support"": ""23,337"", ""threshold"": ""54,750"", ""percentage"": ""42.62%""}, ""Spain"": {""statements_of_support"": ""18,564"", ""threshold"": ""40,500"", ""percentage"": ""45.84%""}}",2.0,97640.0,"183,795.64",,01/03/2026,
Protect EU Digital Sovereignty,2025,10/03/2025,Collection Ongoing,Require the EU to develop and maintain sovereign digital infrastructure reducing dependency on non-EU cloud providers and ensuring EU citizens data is processed exclusively within EU jurisdiction.,,https://citizens-initiative.europa.eu/initiatives/protect-eu-digital-sovereignty_en,,0.0,0.0,0.00,,10/03/2025,
Ban Surveillance Advertising,2025,01/06/2025,Withdrawn,Prohibit the use of personal data for targeted advertising purposes across all digital platforms operating within the European Union to protect citizens privacy and mental health.,,https://citizens-initiative.europa.eu/initiatives/ban-surveillance-advertising_en,,,,,01/06/2025,,
